SNWTool log Message
Time       Message
----------------------------------------------------------------------------------------------
23:14:28   load config file(E:\rk_work\tools_distr\snwtool_pack\autoinfo.bin) failed when reading
23:14:28   ++resetAutoInfos()
23:14:28   --resetAutoInfos()
23:14:28   language:CN
23:14:28   new (0,g34,a32)
23:14:30   load config file(E:\rk_work\tools_distr\snwtool_pack\autoinfo.bin) failed when reading
23:14:30   ++resetAutoInfos()
23:14:30   --resetAutoInfos()
23:16:13   ++DlgModDestroyProc()
23:16:42   ScanDeviceProc exit 2
23:16:42   deviceScanThread exit
23:16:42   exit 0
23:16:46   language:CN
23:16:46   new (0,g34,a32)
23:16:52   ScanDeviceProc exit 2
23:16:52   deviceScanThread exit
23:16:52   exit 0
23:17:18   language:CN
23:17:18   new (0,g34,a32)
23:17:22   ++DlgModDestroyProc()
23:17:27   ScanDeviceProc exit 2
23:17:27   deviceScanThread exit
23:17:28   exit 0
23:17:31   new (0,g34,a32)
23:17:42   ScanDeviceProc exit 2
23:17:43   deviceScanThread exit
23:17:43   exit 0
